,2
4432187771,4
443218771b,2
4432187711,4
44321871ab,4
44321871aa,4
44321871a1,2
4432187111,12
43633219ab,2
43632219ab,2
43632189a9,2
4363218a98,2
436321a981,2
4363218999,12
4363218998,4
4363219981,4
436321898b,8
43333219ab,6
43332219ab,2
43332189a9,2
4333218a98,2
433321a981,2
4333218999,12
4333218998,4
4333219981,4
433321898b,4
4333218988,8
43327219ab,1
43322219ab,2
43322189a9,1
4332218a98,1
433221a981,1
4332218999,6
4332218998,2
4332219981,2
433221898b,2
4332218988,2
4332219881,2
4332198871,2
433217987b,1
4332179877,2
4332198771,1
433219871b,1
4332198711,2
4332178888,24
4332178887,6
4332188871,6
433217887b,2
4332178877,4
4332188771,2
433218871b,2
4332188711,4
43321787a7,2
4332187a71,2
4332178777,6
4332187771,2
433218771b,1
4332187711,2
43321871ab,2
43321871aa,2
43321871a1,1
4332187111,6
43276219ab,2
43266219ab,2
43262219ab,1
4326218a98,1
432621a981,1
4326218999,6
4326218998,2
4326219981,2
432621898b,2
4326218988,2
4326219881,1
432621981b,2
43222219ab,6
4322218a98,2
432221a981,2
4322218999,12
4322218998,4
4322219981,4
432221898b,4
4322218988,4
4322219881,2
432221981b,2
4322219811,8
4322198771,2
432219871b,1
4322198711,2
4322178888,24
4322178887,6
4322188871,6
432217887b,2
4322178877,4
4322188771,2
432218871b,2
4322188711,4
43221787a7,2
4322187a71,2
4322178777,6
4322187771,2
432218771b,1
4322187711,2
43221871ab,2
43221871aa,2
43221871a1,1
4322187111,6
43218761ab,2
43218761aa,4
43218761a1,2
4321876111,12
4321677777,120
4321677776,24
4321777761,24
432167776b,6
4321677766,12
4321777661,6
432177761b,6
4321777611,12
43216776aa,8
43216776a6,2
4321776a61,2
4321677666,12
4321776661,4
432177661b,2
4321776611,4
43217761ab,2
43217761aa,4
43217761a1,2
4321776111,12
432167696b,6
4321676966,4
4321769661,2
432176961b,2
4321769611,4
4321676666,24
4321766661,6
432176661b,2
4321766611,4
43217661ab,1
43217661aa,2
43217661a1,1
4321766111,6
4321761a91,2
4321761999,6
4321761991,2
432176191b,2
4321761911,2
4321761111,24
33333321ab,720
33333221ab,120
33333219aa,240
33333219a9,120
3333321a91,120
33332821ab,24
33332221ab,48
33332219aa,48
33332219a9,24
3333221a91,24
3333218999,144
3333218998,48
3333219981,48
333321898b,48
3333218988,48
3333219881,24
333321981b,24
3333219811,48
3333218888,1152
33327721ab,12
33327221ab,6
33327219aa,12
33327219a9,6
3332721a91,6
33322221ab,36
33322219aa,24
33322219a9,12
3332221a91,12
3332218999,36
3332218998,12
3332219981,12
333221898b,12
3332218988,12
3332219881,6
333221981b,6
3332219811,12
3332218888,144
3332218881,72
3332188871,72
333217887b,12
3332178877,24
3332188771,12
333218871b,12
3332188711,24
33321787a7,12
3332187a71,12
3332178777,36
3332187771,12
333218771b,6
3332187711,12
33321871ab,12
33321871aa,12
33321871a1,6
3332187111,36
3332177777,720
3332177771,144
333217771b,36
3332177711,72
33321771aa,48
33321771a1,12
3332177111,72
333217191b,36
3332171911,24
3332171111,144
33266221ab,8
33266219aa,16
33266219a9,8
3326621a91,8
33262821ab,4
33262221ab,4
33262219aa,4
33262219a9,2
3326221a91,2
3326218998,4
3326219981,4
332621898b,4
3326218988,4
3326219881,2
332621981b,2
3326219811,4
3326218888,48
3326218881,12
332621881b,8
33222221ab,48
33222219aa,24
33222219a9,12
3322221a91,12
3322218998,8
3322219981,8
332221898b,8
3322218988,8
3322219881,4
332221981b,4
3322219811,8
3322218888,96
3322218881,24
332221881b,8
3322218811,32
3322188771,8
332218871b,4
3322188711,8
33221787a7,4
3322187a71,4
3322178777,12
3322187771,4
332218771b,2
3322187711,4
33221871ab,4
33221871aa,4
33221871a1,2
3322187111,12
3322177777,240
3322177771,48
332217771b,12
3322177711,24
33221771aa,16
33221771a1,4
3322177111,24
332217191b,12
3322171911,8
3322171111,48
33217761ab,8
33217761aa,16
33217761a1,8
3321776111,48
332167696b,12
3321676966,8
3321769661,4
332176961b,4
3321769611,8
3321676666,48
3321766661,12
332176661b,4
3321766611,8
33217661ab,2
33217661aa,4
33217661a1,2
3321766111,12
3321761a91,4
3321761999,12
3321761991,4
332176191b,4
3321761911,4
3321761111,48
3321666666,1440
3321666661,240
332166661b,48
3321666611,96
33216661aa,24
33216661a1,12
3321666111,72
3321661991,16
332166191b,8
3321661911,8
3321661111,96
33216181a1,12
3321618111,24
3321611111,240
32527221ab,6
32527219a9,6
3252721a91,6
32522221ab,12
32522219a9,4
3252221a91,4
325221898b,4
3252218988,4
3252219881,2
325221981b,2
3252219811,4
3252218888,48
3252218881,12
325221881b,4
3252218811,8
32522181a1,8
3252187a71,8
3252178777,12
3252187771,4
325218771b,2
3252187711,4
32521871ab,4
32521871aa,4
32521871a1,2
3252187111,12
3252177777,240
3252177771,48
325217771b,12
3252177711,24
32521771aa,16
32521771a1,4
3252177111,24
325217191b,12
3252171911,8
3252171111,48
32222221ab,120
32222219a9,24
3222221a91,24
3222218988,12
3222219881,6
322221981b,6
3222219811,12
3222218888,144
3222218881,36
322221881b,12
3222218811,24
32222181a1,12
3222218111,72
3222187771,8
322218771b,2
3222187711,4
32221871ab,4
32221871aa,4
32221871a1,2
3222187111,12
3222177777,240
3222177771,48
322217771b,12
3222177711,24
32221771aa,16
32221771a1,4
3222177111,24
322217191b,12
3222171911,8
3222171111,48
32217661ab,2
32217661aa,4
32217661a1,2
3221766111,12
3221761a91,2
3221761999,6
3221761991,2
322176191b,2
3221761911,2
3221761111,24
3221666666,720
3221666661,120
322166661b,24
3221666611,48
32216661aa,12
32216661a1,6
3221666111,36
3221661991,8
322166191b,4
3221661911,4
3221661111,48
32216181a1,6
3221618111,12
3221611111,120
321651981b,6
3216519811,12
3216518888,48
3216518881,12
321651881b,4
3216518811,8
32165181a1,4
3216518111,12
3216511111,240
3215555555,5040
3215555551,720
321555551b,120
3215555511,240
32155551aa,48
32155551a1,24
3215555111,144
3215551999,72
3215551991,12
321555191b,12
3215551911,12
3215551111,144
321551881b,8
3215518811,16
32155181a1,4
3215518111,12
3215511111,240
321517191b,24
3215171911,12
3215171111,48
3215111111,720
222222221b,40320
22222221aa,10080
22222221a1,5040
2222221999,4320
2222221991,1440
222222191b,1440
2222221911,1440
2222218888,2880
2222218881,720
222221881b,240
2222218811,480
22222181a1,240
2222218111,720
2222211111,28800
2222177771,1152
222217771b,144
2222177711,288
22221771aa,192
22221771a1,48
2222177111,288
222217191b,144
2222171911,96
2222171111,576
2222111111,17280
22216661aa,144
22216661a1,72
2221666111,432
2221661991,48
222166191b,24
2221661911,24
2221661111,288
22216181a1,36
2221618111,72
2221611111,720
2221111111,30240
221551881b,48
2215518811,96
22155181a1,16
2215518111,48
2215511111,960
221517191b,48
2215171911,24
2215171111,96
2215111111,1440
2211111111,80640
21416181a1,120
2141618111,144
2141611111,720
2141111111,10080
2111111111,362880
1111111111,39916800
65432189abc,2
65432189abb,2
65432189aba,1
65432189ba9,1
6543218ba98,1
654321ba981,1
55543219abc,6
55443219abc,2
55433219abc,2
55432219abc,2
55432189abb,8
55432189aba,2
55432189ba9,2
5543218ba98,2
554321ba981,2
55432189aaa,12
55432189aa9,4
5543218aa98,4
554321aa981,4
55432189a9c,4
55432189a99,4
5543218a998,2
554321a9981,2
5543218a98c,2
5543218a988,4
554321a9881,2
554321a981c,2
554321a9811,4
54743219abc,2
54443219abc,2
54433219abc,1
54432219abc,1
54432189aba,2
54432189ba9,1
5443218ba98,1
544321ba981,1
54432189aaa,6
54432189aa9,2
5443218aa98,2
544321aa981,2
54432189a9c,2
54432189a99,2
5443218a998,1
544321a9981,1
5443218a98c,1
5443218a988,2
544321a9881,1
544321a981c,1
544321a9811,2
54373219abc,1
54333219abc,2
54332219abc,1
54332189ba9,2
5433218ba98,1
543321ba981,1
54332189aaa,6
54332189aa9,2
5433218aa98,2
543321aa981,2
54332189a9c,2
54332189a99,2
5433218a998,1
543321a9981,1
5433218a98c,1
5433218a988,2
543321a9881,1
543321a981c,1
543321a9811,2
54327219abc,1
54322219abc,2
5432218ba98,2
543221ba981,1
54322189aaa,6
54322189aa9,2
5432218aa98,2
543221aa981,2
54322189a9c,2
54322189a99,2
5432218a998,1
543221a9981,1
5432218a98c,1
5432218a988,2
543221a9881,1
543221a981c,1
543221a9811,2
54321a9871c,2
54321a98711,4
54321789999,24
54321789998,6
54321799987,6
54321999871,6
5432178998c,2
54321789988,4
54321799887,2
54321998871,2
5432179987c,2
54321799877,4
54321998771,2
5432199871c,2
54321998711,4
543217898b8,2
54321798b87,2
5432198b871,2
54321789888,6
54321798887,2
54321988871,2
5432179887c,1
54321798877,2
54321988771,1
5432198871c,1
54321988711,2
543217987bc,2
543217987bb,2
543217987b7,1
54321987b71,1
54321798777,6
54321987771,2
5432198771c,1
54321987711,2
543219871bc,1
543219871bb,2
543219871b1,1
54321987111,6
44444321abc,120
44443321abc,24
44443221abc,24
44443219abb,48
44443219aba,24
44443219ba9,24
4444321ba91,24
44438321abc,6
44433321abc,12
44433221abc,6
44433219abb,12
44433219aba,6
44433219ba9,6
4443321ba91,6
44432821abc,6
44432221abc,12
44432219abb,12
44432219aba,6
44432219ba9,6
4443221ba91,6
44432189aaa,72
44432189aa9,12
4443218aa98,12
444321aa981,12
44432189a9c,12
44432189a99,12
4443218a998,6
444321a9981,6
4443218a98c,6
4443218a988,12
444321a9881,6
444321a981c,6
444321a9811,12
44432189999,144
44432189998,36
44432199981,36
4443218998c,12
44432189988,24
44432199881,12
4443219981c,12
44432199811,24
444321898b8,12
44432198b81,12
44432189888,36
44432198881,12
4443219881c,6
44432198811,12
444321981bc,12
444321981bb,12
444321981b1,6
44432198111,36
44377321abc,8
44373321abc,2
44373221abc,2
44373219abb,4
44373219aba,2
44373219ba9,2
4437321ba91,2
44333321abc,12
44333221abc,4
44333219abb,8
44333219aba,4
44333219ba9,4
4433321ba91,4
44332821abc,2
44332221abc,4
44332219abb,4
44332219aba,2
44332219ba9,2
4433221ba91,2
44332189aa9,8
4433218aa98,4
443321aa981,4
44332189a9c,4
44332189a99,4
4433218a998,2
443321a9981,2
4433218a98c,2
4433218a988,4
443321a9881,2
443321a981c,2
443321a9811,4
44332189999,48
44332189998,12
44332199981,12
4433218998c,4
44332189988,8
44332199881,4
4433219981c,4
44332199811,8
443321898b8,4
44332198b81,4
44332189888,12
44332198881,4
4433219881c,2
44332198811,4
443321981bc,4
443321981bb,4
